1.000,41.000,33.000,4.000,0.343,0.003,0.157,0.132,0.024,0.022,0.020,0.031,0.048,0.051,0.001,0.030,0.000,0.012,0.000,0.004,0.114,0.001,0.005,0.000
1.000,68.000,14.000,3.000,0.310,0.002,0.201,0.158,0.030,0.027,0.021,0.032,0.038,0.033,0.001,0.011,0.000,0.010,0.000,0.002,0.116,0.000,0.006,0.001
1.000,46.000,28.000,3.000,0.372,0.002,0.181,0.135,0.025,0.023,0.018,0.025,0.018,0.029,0.000,0.019,0.000,0.010,0.000,0.004,0.133,0.000,0.005,0.002
1.000,72.000,23.000,4.000,0.270,0.005,0.185,0.149,0.030,0.027,0.024,0.039,0.064,0.054,0.001,0.022,0.000,0.014,0.000,0.003,0.106,0.000,0.006,0.000
1.000,36.000,3.000,3.000,0.345,0.000,0.189,0.109,0.027,0.035,0.013,0.014,0.007,0.042,0.000,0.035,0.010,0.007,0.000,0.004,0.134,0.014,0.003,0.013
1.000,47.000,25.000,3.000,0.365,0.002,0.182,0.136,0.025,0.024,0.017,0.024,0.021,0.031,0.000,0.021,0.000,0.011,0.000,0.004,0.131,0.000,0.005,0.002
1.000,71.000,16.000,3.000,0.307,0.003,0.202,0.159,0.031,0.026,0.021,0.033,0.039,0.033,0.001,0.011,0.000,0.010,0.000,0.002,0.117,0.000,0.006,0.000
0.000,82.000,18.000,3.000,0.310,0.003,0.208,0.164,0.033,0.025,0.020,0.033,0.035,0.027,0.001,0.005,0.000,0.007,0.000,0.002,0.119,0.000,0.006,0.000
1.000,63.000,18.000,5.000,0.246,0.002,0.167,0.140,0.027,0.030,0.025,0.041,0.086,0.072,0.001,0.035,0.000,0.018,0.000,0.003,0.095,0.006,0.005,0.000
1.000,85.000,4.000,3.000,0.303,0.004,0.206,0.165,0.034,0.025,0.020,0.033,0.041,0.030,0.001,0.007,0.000,0.008,0.000,0.002,0.114,0.000,0.006,0.000
1.000,50.000,3.000,3.000,0.320,0.000,0.198,0.148,0.028,0.029,0.019,0.025,0.031,0.034,0.001,0.018,0.000,0.012,0.000,0.002,0.115,0.008,0.006,0.007
0.000,42.000,11.000,3.000,0.401,0.000,0.185,0.132,0.021,0.030,0.012,0.014,0.000,0.029,0.000,0.022,0.002,0.009,0.000,0.004,0.132,0.000,0.003,0.005
1.000,72.000,26.000,3.000,0.307,0.004,0.200,0.156,0.031,0.026,0.020,0.034,0.040,0.034,0.001,0.011,0.000,0.010,0.000,0.002,0.118,0.000,0.006,0.000
0.000,58.000,24.000,3.000,0.342,0.003,0.194,0.146,0.028,0.025,0.016,0.029,0.028,0.029,0.001,0.013,0.000,0.012,0.000,0.003,0.127,0.000,0.006,0.000
1.000,93.000,19.000,3.000,0.301,0.004,0.206,0.164,0.035,0.025,0.021,0.034,0.041,0.030,0.001,0.006,0.000,0.007,0.000,0.002,0.116,0.000,0.006,0.000
1.000,59.000,18.000,3.000,0.323,0.002,0.195,0.151,0.028,0.026,0.019,0.030,0.035,0.034,0.001,0.015,0.000,0.012,0.000,0.003,0.120,0.000,0.006,0.002
1.000,59.000,35.000,5.000,0.257,0.004,0.169,0.138,0.028,0.028,0.026,0.042,0.078,0.069,0.001,0.032,0.000,0.017,0.000,0.003,0.101,0.002,0.005,0.000
1.000,69.000,0.000,3.000,0.299,0.005,0.203,0.163,0.033,0.024,0.021,0.031,0.045,0.035,0.001,0.010,0.000,0.011,0.000,0.002,0.107,0.002,0.007,0.000
1.000,39.000,28.000,5.000,0.294,0.001,0.130,0.128,0.021,0.026,0.021,0.032,0.087,0.079,0.000,0.051,0.000,0.016,0.000,0.005,0.093,0.010,0.006,0.000
1.000,44.000,12.000,3.000,0.369,0.000,0.181,0.137,0.022,0.029,0.015,0.017,0.019,0.034,0.000,0.026,0.000,0.011,0.000,0.003,0.125,0.002,0.004,0.005
1.000,75.000,0.000,4.000,0.259,0.005,0.186,0.153,0.032,0.027,0.024,0.038,0.071,0.057,0.002,0.022,0.000,0.015,0.000,0.002,0.097,0.003,0.007,0.000
1.000,61.000,10.000,3.000,0.316,0.001,0.199,0.156,0.029,0.027,0.020,0.030,0.035,0.033,0.001,0.013,0.000,0.011,0.000,0.002,0.116,0.001,0.006,0.003
1.000,76.000,23.000,3.000,0.304,0.004,0.201,0.158,0.032,0.026,0.021,0.034,0.041,0.033,0.001,0.010,0.000,0.010,0.000,0.002,0.117,0.000,0.006,0.000
1.000,88.000,23.000,3.000,0.300,0.004,0.205,0.162,0.034,0.025,0.021,0.035,0.041,0.032,0.001,0.008,0.000,0.008,0.000,0.002,0.116,0.000,0.006,0.000
1.000,76.000,11.000,4.000,0.267,0.004,0.187,0.153,0.031,0.028,0.024,0.039,0.064,0.054,0.002,0.021,0.000,0.014,0.000,0.002,0.103,0.001,0.006,0.000
1.000,64.000,11.000,3.000,0.313,0.002,0.200,0.157,0.029,0.027,0.020,0.031,0.036,0.033,0.001,0.012,0.000,0.011,0.000,0.002,0.116,0.001,0.006,0.002
1.000,53.000,11.000,4.000,0.282,0.000,0.174,0.141,0.025,0.031,0.023,0.033,0.064,0.060,0.001,0.031,0.000,0.016,0.000,0.003,0.103,0.007,0.004,0.002
0.000,57.000,11.000,4.000,0.284,0.000,0.185,0.146,0.027,0.031,0.023,0.036,0.056,0.054,0.001,0.023,0.001,0.014,0.000,0.003,0.106,0.004,0.004,0.002
0.000,89.000,11.000,3.000,0.310,0.003,0.211,0.167,0.035,0.025,0.020,0.032,0.035,0.025,0.002,0.004,0.000,0.006,0.000,0.002,0.118,0.000,0.006,0.000
1.000,92.000,11.000,3.000,0.303,0.004,0.207,0.165,0.035,0.025,0.020,0.033,0.040,0.029,0.001,0.006,0.000,0.007,0.000,0.002,0.116,0.000,0.006,0.000
0.000,81.000,11.000,3.000,0.311,0.003,0.209,0.165,0.033,0.026,0.020,0.033,0.034,0.026,0.002,0.005,0.000,0.007,0.000,0.002,0.118,0.000,0.006,0.000
1.000,78.000,11.000,3.000,0.304,0.003,0.204,0.162,0.032,0.026,0.020,0.033,0.040,0.032,0.002,0.009,0.000,0.009,0.000,0.002,0.115,0.000,0.006,0.000
1.000,73.000,24.000,4.000,0.270,0.005,0.186,0.149,0.030,0.027,0.024,0.039,0.063,0.054,0.002,0.022,0.000,0.014,0.000,0.003,0.106,0.000,0.006,0.000
1.000,46.000,23.000,3.000,0.369,0.001,0.180,0.135,0.024,0.025,0.016,0.022,0.021,0.031,0.000,0.023,0.000,0.011,0.000,0.004,0.130,0.000,0.005,0.002
1.000,73.000,18.000,4.000,0.269,0.004,0.186,0.151,0.030,0.028,0.024,0.039,0.064,0.054,0.002,0.022,0.000,0.014,0.000,0.002,0.105,0.001,0.006,0.000
1.000,33.000,18.000,3.000,0.466,0.000,0.141,0.122,0.016,0.022,0.006,0.000,0.000,0.030,0.000,0.042,0.000,0.008,0.000,0.006,0.133,0.000,0.006,0.003
0.000,66.000,3.000,4.000,0.269,0.003,0.190,0.152,0.031,0.029,0.024,0.037,0.062,0.053,0.002,0.020,0.000,0.015,0.000,0.002,0.101,0.004,0.006,0.001
0.000,71.000,33.000,3.000,0.318,0.004,0.201,0.153,0.031,0.025,0.019,0.034,0.034,0.031,0.001,0.008,0.000,0.010,0.000,0.002,0.123,0.000,0.006,0.000
1.000,56.000,16.000,3.000,0.329,0.001,0.193,0.150,0.027,0.027,0.019,0.028,0.032,0.033,0.001,0.017,0.000,0.012,0.000,0.003,0.120,0.000,0.006,0.002
0.000,81.000,14.000,3.000,0.311,0.003,0.209,0.164,0.033,0.026,0.020,0.033,0.034,0.027,0.002,0.005,0.000,0.007,0.000,0.002,0.119,0.000,0.006,0.000
