1.000,41.000,33.000,4.000,0.251,0.006,0.159,0.131,0.032,0.017,0.032,0.049,0.079,0.059,0.000,0.041,0.005,0.019,0.007,0.001,0.100,0.004,0.002,0.005
1.000,68.000,14.000,3.000,0.306,0.004,0.203,0.148,0.034,0.015,0.029,0.043,0.037,0.020,0.000,0.016,0.003,0.009,0.007,0.000,0.113,0.005,0.003,0.004
1.000,46.000,28.000,3.000,0.343,0.005,0.189,0.136,0.031,0.012,0.026,0.039,0.035,0.024,0.000,0.019,0.002,0.012,0.005,0.001,0.112,0.002,0.002,0.005
1.000,72.000,23.000,4.000,0.203,0.006,0.177,0.148,0.037,0.019,0.035,0.055,0.084,0.056,0.001,0.036,0.006,0.016,0.010,0.001,0.101,0.005,0.003,0.002
1.000,36.000,3.000,3.000,0.347,0.002,0.187,0.129,0.028,0.019,0.029,0.035,0.028,0.023,0.000,0.024,0.003,0.011,0.003,0.000,0.111,0.011,0.003,0.007
1.000,47.000,25.000,3.000,0.340,0.004,0.190,0.136,0.031,0.013,0.027,0.039,0.035,0.023,0.000,0.019,0.002,0.012,0.005,0.001,0.112,0.003,0.002,0.005
1.000,71.000,16.000,3.000,0.302,0.004,0.205,0.150,0.035,0.015,0.029,0.043,0.039,0.020,0.000,0.015,0.003,0.009,0.007,0.000,0.113,0.004,0.003,0.003
0.000,82.000,18.000,3.000,0.284,0.004,0.229,0.161,0.035,0.014,0.028,0.041,0.033,0.017,0.000,0.009,0.002,0.007,0.007,0.000,0.120,0.001,0.004,0.003
1.000,63.000,18.000,5.000,0.113,0.007,0.145,0.140,0.037,0.026,0.042,0.064,0.125,0.091,0.001,0.060,0.010,0.022,0.011,0.001,0.089,0.011,0.002,0.003
1.000,85.000,4.000,3.000,0.278,0.004,0.214,0.157,0.036,0.018,0.031,0.045,0.039,0.018,0.001,0.014,0.003,0.007,0.008,0.000,0.113,0.007,0.004,0.002
1.000,50.000,3.000,3.000,0.327,0.002,0.195,0.137,0.030,0.019,0.030,0.038,0.031,0.021,0.000,0.021,0.003,0.010,0.005,0.000,0.111,0.010,0.003,0.006
0.000,42.000,11.000,3.000,0.338,0.002,0.208,0.138,0.028,0.017,0.027,0.032,0.022,0.020,0.000,0.018,0.002,0.010,0.003,0.000,0.118,0.006,0.003,0.007
1.000,72.000,26.000,3.000,0.305,0.005,0.204,0.151,0.035,0.012,0.028,0.044,0.041,0.021,0.000,0.014,0.002,0.010,0.007,0.001,0.113,0.001,0.003,0.003
0.000,58.000,24.000,3.000,0.320,0.004,0.215,0.147,0.032,0.013,0.026,0.037,0.029,0.020,0.000,0.013,0.001,0.009,0.005,0.000,0.119,0.001,0.003,0.005
1.000,93.000,19.000,3.000,0.272,0.006,0.216,0.163,0.038,0.013,0.029,0.048,0.044,0.018,0.000,0.011,0.003,0.007,0.009,0.000,0.114,0.001,0.004,0.001
1.000,59.000,18.000,3.000,0.320,0.004,0.198,0.143,0.033,0.015,0.028,0.041,0.036,0.022,0.000,0.018,0.002,0.010,0.006,0.000,0.112,0.004,0.003,0.004
1.000,59.000,35.000,5.000,0.125,0.008,0.141,0.138,0.037,0.022,0.039,0.065,0.127,0.093,0.001,0.058,0.009,0.024,0.011,0.002,0.089,0.006,0.002,0.003
1.000,69.000,0.000,3.000,0.299,0.003,0.206,0.148,0.033,0.019,0.031,0.042,0.035,0.019,0.001,0.018,0.004,0.008,0.006,0.000,0.112,0.009,0.004,0.004
1.000,39.000,28.000,5.000,0.151,0.007,0.131,0.126,0.033,0.024,0.040,0.060,0.121,0.094,0.001,0.063,0.009,0.025,0.009,0.001,0.088,0.010,0.001,0.005
1.000,44.000,12.000,3.000,0.339,0.003,0.190,0.134,0.030,0.017,0.028,0.037,0.031,0.023,0.000,0.021,0.003,0.011,0.004,0.000,0.111,0.007,0.003,0.006
1.000,75.000,0.000,4.000,0.189,0.004,0.182,0.149,0.036,0.025,0.038,0.054,0.080,0.053,0.001,0.038,0.008,0.013,0.009,0.001,0.101,0.012,0.004,0.003
1.000,61.000,10.000,3.000,0.314,0.003,0.200,0.144,0.033,0.017,0.029,0.041,0.035,0.021,0.000,0.018,0.003,0.009,0.006,0.000,0.112,0.007,0.003,0.004
1.000,76.000,23.000,3.000,0.298,0.005,0.207,0.153,0.036,0.013,0.028,0.045,0.041,0.020,0.000,0.014,0.002,0.009,0.008,0.001,0.113,0.001,0.003,0.002
1.000,88.000,23.000,3.000,0.281,0.006,0.213,0.160,0.038,0.012,0.029,0.048,0.044,0.019,0.000,0.011,0.002,0.008,0.009,0.001,0.114,0.001,0.004,0.001
