1.000,68.000,14.000,3.000,0.254,0.000,0.201,0.177,0.029,0.031,0.027,0.048,0.041,0.021,0.006,0.011,0.000,0.006,0.008,0.004,0.104,0.019,0.012,0.000
1.000,46.000,28.000,3.000,0.254,0.000,0.195,0.173,0.039,0.038,0.021,0.050,0.042,0.023,0.004,0.012,0.000,0.004,0.014,0.000,0.102,0.016,0.010,0.000
1.000,72.000,23.000,4.000,0.250,0.000,0.200,0.177,0.034,0.031,0.031,0.051,0.040,0.024,0.005,0.008,0.003,0.005,0.008,0.001,0.104,0.018,0.010,0.000
1.000,36.000,3.000,3.000,0.241,0.000,0.198,0.174,0.045,0.024,0.034,0.064,0.041,0.017,0.000,0.000,0.001,0.011,0.012,0.002,0.125,0.009,0.002,0.000
1.000,47.000,25.000,3.000,0.255,0.000,0.194,0.173,0.038,0.036,0.022,0.050,0.041,0.024,0.002,0.015,0.000,0.003,0.012,0.002,0.106,0.018,0.009,0.000
1.000,71.000,16.000,3.000,0.254,0.000,0.201,0.177,0.030,0.031,0.028,0.048,0.042,0.021,0.005,0.010,0.000,0.006,0.008,0.003,0.105,0.019,0.012,0.000
0.000,82.000,18.000,3.000,0.256,0.000,0.203,0.178,0.031,0.028,0.031,0.049,0.043,0.021,0.004,0.008,0.000,0.005,0.007,0.002,0.107,0.017,0.011,0.000
1.000,63.000,18.000,5.000,0.244,0.000,0.197,0.177,0.038,0.034,0.031,0.052,0.039,0.028,0.004,0.008,0.006,0.003,0.008,0.003,0.102,0.019,0.010,0.000
1.000,85.000,4.000,3.000,0.260,0.000,0.206,0.179,0.030,0.025,0.031,0.048,0.040,0.018,0.003,0.009,0.000,0.006,0.006,0.003,0.108,0.018,0.009,0.000
1.000,50.000,3.000,3.000,0.251,0.000,0.198,0.176,0.033,0.031,0.029,0.055,0.038,0.020,0.001,0.008,0.002,0.008,0.011,0.003,0.111,0.015,0.012,0.000
0.000,42.000,11.000,3.000,0.259,0.000,0.199,0.174,0.037,0.030,0.032,0.054,0.041,0.017,0.000,0.010,0.000,0.008,0.005,0.000,0.115,0.011,0.007,0.000
1.000,72.000,26.000,3.000,0.254,0.000,0.202,0.177,0.031,0.031,0.030,0.050,0.041,0.021,0.005,0.010,0.000,0.006,0.008,0.001,0.105,0.018,0.011,0.000
0.000,58.000,24.000,3.000,0.258,0.000,0.201,0.176,0.032,0.032,0.023,0.049,0.041,0.019,0.002,0.013,0.000,0.006,0.009,0.002,0.108,0.019,0.011,0.000
1.000,93.000,19.000,3.000,0.257,0.000,0.205,0.178,0.033,0.027,0.036,0.050,0.043,0.020,0.003,0.005,0.000,0.004,0.006,0.001,0.109,0.015,0.009,0.000
1.000,59.000,18.000,3.000,0.254,0.000,0.199,0.177,0.030,0.033,0.025,0.049,0.040,0.022,0.005,0.012,0.000,0.006,0.008,0.003,0.105,0.019,0.012,0.000
1.000,59.000,35.000,5.000,0.243,0.000,0.203,0.181,0.047,0.033,0.024,0.053,0.051,0.018,0.009,0.007,0.005,0.008,0.006,0.000,0.095,0.007,0.009,0.000
1.000,69.000,0.000,3.000,0.260,0.000,0.204,0.181,0.029,0.024,0.026,0.049,0.039,0.015,0.006,0.012,0.000,0.006,0.008,0.004,0.106,0.020,0.012,0.000
1.000,39.000,28.000,5.000,0.241,0.000,0.211,0.172,0.052,0.028,0.036,0.047,0.060,0.017,0.010,0.009,0.008,0.013,0.000,0.000,0.089,0.000,0.005,0.003
1.000,44.000,12.000,3.000,0.255,0.000,0.198,0.177,0.036,0.032,0.028,0.054,0.041,0.021,0.004,0.008,0.002,0.008,0.007,0.000,0.110,0.011,0.008,0.000
1.000,75.000,0.000,4.000,0.258,0.000,0.204,0.182,0.032,0.024,0.029,0.050,0.039,0.017,0.006,0.009,0.000,0.005,0.006,0.005,0.106,0.019,0.010,0.000
1.000,61.000,10.000,3.000,0.254,0.000,0.199,0.176,0.030,0.033,0.027,0.049,0.041,0.021,0.005,0.011,0.000,0.007,0.009,0.003,0.104,0.018,0.013,0.000
1.000,76.000,23.000,3.000,0.254,0.000,0.202,0.177,0.031,0.030,0.031,0.049,0.042,0.021,0.005,0.009,0.000,0.005,0.008,0.002,0.105,0.018,0.011,0.000
1.000,88.000,23.000,3.000,0.255,0.000,0.203,0.177,0.033,0.028,0.035,0.050,0.043,0.021,0.004,0.006,0.001,0.005,0.007,0.001,0.107,0.015,0.010,0.000
1.000,76.000,11.000,4.000,0.253,0.000,0.201,0.177,0.032,0.031,0.032,0.050,0.041,0.022,0.004,0.007,0.000,0.005,0.008,0.003,0.104,0.018,0.010,0.000
1.000,64.000,11.000,3.000,0.254,0.000,0.200,0.177,0.029,0.032,0.027,0.048,0.041,0.021,0.005,0.011,0.000,0.007,0.008,0.004,0.104,0.019,0.013,0.000
1.000,53.000,11.000,4.000,0.246,0.000,0.196,0.176,0.036,0.034,0.031,0.052,0.040,0.025,0.004,0.008,0.004,0.004,0.009,0.004,0.104,0.016,0.010,0.000
0.000,57.000,11.000,4.000,0.249,0.000,0.198,0.175,0.035,0.033,0.031,0.051,0.040,0.023,0.003,0.009,0.001,0.005,0.009,0.005,0.105,0.018,0.011,0.000
0.000,89.000,11.000,3.000,0.259,0.000,0.205,0.178,0.032,0.027,0.033,0.049,0.042,0.020,0.003,0.007,0.000,0.006,0.006,0.001,0.109,0.016,0.009,0.000
1.000,92.000,11.000,3.000,0.259,0.000,0.205,0.178,0.032,0.027,0.034,0.049,0.042,0.020,0.003,0.007,0.000,0.005,0.005,0.002,0.109,0.016,0.008,0.000
0.000,81.000,11.000,3.000,0.258,0.000,0.204,0.178,0.031,0.028,0.030,0.048,0.042,0.020,0.004,0.008,0.000,0.006,0.007,0.002,0.107,0.017,0.010,0.000
1.000,78.000,11.000,3.000,0.257,0.000,0.203,0.177,0.030,0.029,0.030,0.048,0.042,0.020,0.005,0.009,0.000,0.006,0.007,0.003,0.106,0.018,0.011,0.000
1.000,73.000,24.000,4.000,0.250,0.000,0.200,0.177,0.034,0.031,0.032,0.051,0.040,0.023,0.004,0.008,0.003,0.005,0.008,0.001,0.104,0.018,0.010,0.000
1.000,46.000,23.000,3.000,0.256,0.000,0.195,0.173,0.037,0.036,0.023,0.050,0.041,0.024,0.002,0.015,0.000,0.003,0.010,0.001,0.107,0.018,0.009,0.000
